times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

088.383  000.064  000.064: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/plugin/vsnip_integ.vim
088.672  000.033  000.033: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wiki.vim/autoload/wiki/init.vim
088.973  000.132  000.132: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wiki.vim/autoload/wiki/u.vim
089.676  000.298  000.298: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wiki.vim/autoload/wiki/tags.vim
089.960  000.041  000.041: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wiki.vim/autoload/wiki/jobs.vim
090.351  000.220  000.220: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wiki.vim/autoload/wiki/cache.vim
090.940  002.492  001.768: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wiki.vim/plugin/wiki.vim
091.066  002.951: loading packages
091.291  000.139  000.139: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/cmp-vsnip/after/plugin/cmp_vsnip.vim
091.587  000.025  000.025: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/autoload/vsnip_integ/integration.vim
091.866  000.093  000.093: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/autoload/vsnip_integ/detection.vim
092.644  001.257  001.138: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/after/plugin/vsnip_integ.vim
104.746  012.058  012.058: sourcing /home/chris/.config/nvim/after/plugin/abolish.vim
105.154  000.333  000.333: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
105.573  000.348  000.348: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
105.694  000.492: loading after plugins
105.705  000.011: inits 3
108.054  002.349: reading ShaDa
112.163  000.115  000.115: sourcing /usr/share/nvim/runtime/ftplugin/lua.vim
112.623  000.225  000.225: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nlua.nvim/after/ftplugin/lua.vim
112.793  000.011  000.011: sourcing /home/chris/.config/nvim/after/ftplugin/lua.vim
114.118  000.051  000.051: sourcing /usr/share/nvim/runtime/indent/lua.vim
115.172  000.765  000.765: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/BetterLua.vim/syntax/lua.vim
115.589  000.012  000.012: sourcing /usr/share/nvim/runtime/syntax/lua.vim
143.441  000.659  000.659: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/BetterLua.vim/syntax/lua.vim
143.858  000.010  000.010: sourcing /usr/share/nvim/runtime/syntax/lua.vim
156.369  000.180  000.180: sourcing /home/chris/.local/share/nvim/view//~=+.dots=+nvim_lua_all=+.config=+nvim=+init.lua=
156.378  046.296: opening buffers
156.461  000.083: BufEnter autocommands
156.465  000.004: editing files in windows
156.565  000.100: VimEnter autocommands
156.567  000.002: UIEnter autocommands
156.568  000.001: before starting main loop
194.685  038.118: first screen update
194.691  000.005: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.193  000.188: locale set
000.402  000.209: inits 1
000.408  000.007: window checked
002.527  002.119: parsing arguments
002.556  000.029: expanding arguments
002.570  000.014: inits 2
002.900  000.330: init highlight
002.901  000.001: waiting for UI
003.388  000.486: done waiting for UI
003.397  000.010: init screen for UI
003.410  000.012: init default mappings
003.464  000.054: init default autocommands
003.498  000.008  000.008: sourcing /usr/share/nvim/archlinux.vim
003.500  000.022  000.014: sourcing /etc/xdg/nvim/sysinit.vim
015.099  000.090  000.090: sourcing /home/chris/.local/share/nvim/site/pack/packer/opt/vim-dirvish/plugin/dirvish.vim
020.590  001.342  001.342: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/sourcery/colors/sourcery.vim
028.753  000.436  000.436: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder.vim
029.065  000.106  000.106: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/highlighter.vim
029.330  000.026  000.026: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/popupmenu_scrollbar.vim
029.670  000.102  000.102: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/popupmenu_border_theme.vim
030.009  000.024  000.024: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/setup.vim
030.254  000.038  000.038: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/options.vim
030.659  000.036  000.036: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/wildmenu_spinner.vim
030.886  000.027  000.027: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/spinner.vim
031.145  000.020  000.020: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/wildmenu_index.vim
031.408  000.046  000.046: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/wildmenu_float_or_popup.vim
031.745  000.153  000.153: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/wildmenu.vim
032.040  000.114  000.114: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/render.vim
032.265  000.034  000.034: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/cache.vim
032.651  000.107  000.107: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/highlight.vim
034.556  000.088  000.088: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/nvim_api.vim
035.125  000.261  000.261: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/popupmenu.vim
041.244  000.054  000.054: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/mux.vim
041.381  013.282  011.612: sourcing /home/chris/.config/nvim/wilder_config.vim
041.388  037.876  023.162: sourcing /home/chris/.config/nvim/init.lua
041.392  000.031: sourcing vimrc file(s)
046.939  000.045  000.045: sourcing /home/chris/.config/nvim/ftdetect/justfile.vim
047.077  000.062  000.062: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/i3config.vim/ftdetect/i3config.vim
047.327  000.019  000.019: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/elixir.vim
